task,seed,arm,oof_mode,cv_requested,folds_effective,b_folds_effective,aprime_aligned_with_b,n_train_rounds,b_split_basis,stacking_f1,best_base_model,best_base_f1,gain_absolute,base_f1_rf,base_f1_xgboost,base_f1_lightgbm,n_sources,target_env,grid_kind
g0_R5_to_R2,42,A,random,5,5,5,,1,time_block,0.606645115658326,lightgbm,0.6400569402874108,-0.03341182462908476,0.5728903086491407,0.5919777816463475,0.6400569402874108,1,R2,ood
g0_R5_to_R2,42,A_prime,random,5,5,5,True,1,time_block,0.606645115658326,lightgbm,0.6400569402874108,-0.03341182462908476,0.5728903086491407,0.5919777816463475,0.6400569402874108,1,R2,ood
g0_R5_to_R2,42,B,grouped,5,5,5,,1,time_block,0.6116641602645003,lightgbm,0.6400569402874108,-0.028392780022910458,0.5728903086491407,0.5919777816463475,0.6400569402874108,1,R2,ood
g0_R3_R4_to_R2,42,A,random,5,5,2,,2,round_group,0.7905353668369289,rf,0.8097991283932819,-0.01926376155635301,0.8097991283932819,0.7752091537055984,0.7934265218076193,2,R2,ood
g0_R3_R4_to_R2,42,A_prime,random,2,2,2,True,2,round_group,0.7919648044241505,rf,0.8097991283932819,-0.017834323969131427,0.8097991283932819,0.7752091537055984,0.7934265218076193,2,R2,ood
g0_R3_R4_to_R2,42,B,grouped,5,2,2,,2,round_group,0.6370202122940894,rf,0.8097991283932819,-0.1727789160991925,0.8097991283932819,0.7752091537055984,0.7934265218076193,2,R2,ood
g0_R3_R7_to_R2,42,A,random,5,5,2,,2,round_group,0.6189509624486883,rf,0.7148402909259551,-0.09588932847726683,0.7148402909259551,0.6275911824003098,0.6049142912555372,2,R2,ood
g0_R3_R7_to_R2,42,A_prime,random,2,2,2,True,2,round_group,0.6253761669408199,rf,0.7148402909259551,-0.08946412398513526,0.7148402909259551,0.6275911824003098,0.6049142912555372,2,R2,ood
g0_R3_R7_to_R2,42,B,grouped,5,2,2,,2,round_group,0.6804114235741042,rf,0.7148402909259551,-0.03442886735185091,0.7148402909259551,0.6275911824003098,0.6049142912555372,2,R2,ood
g0_R4_R7_to_R2,42,A,random,5,5,2,,2,round_group,0.7628029353656809,rf,0.8086728434678887,-0.04586990810220781,0.8086728434678887,0.7320151787313458,0.7506933029829205,2,R2,ood
g0_R4_R7_to_R2,42,A_prime,random,2,2,2,True,2,round_group,0.7647781068989623,rf,0.8086728434678887,-0.043894736568926396,0.8086728434678887,0.7320151787313458,0.7506933029829205,2,R2,ood
g0_R4_R7_to_R2,42,B,grouped,5,2,2,,2,round_group,0.5853692484933364,rf,0.8086728434678887,-0.22330359497455232,0.8086728434678887,0.7320151787313458,0.7506933029829205,2,R2,ood
g0_R6_R7_to_R2,42,A,random,5,5,2,,2,round_group,0.6326188553916359,rf,0.7820875826325645,-0.14946872724092863,0.7820875826325645,0.6190752769431634,0.6153869685376326,2,R2,ood
g0_R6_R7_to_R2,42,A_prime,random,2,2,2,True,2,round_group,0.6448861452001935,rf,0.7820875826325645,-0.137201437432371,0.7820875826325645,0.6190752769431634,0.6153869685376326,2,R2,ood
g0_R6_R7_to_R2,42,B,grouped,5,2,2,,2,round_group,0.6062043498294558,rf,0.7820875826325645,-0.1758832328031087,0.7820875826325645,0.6190752769431634,0.6153869685376326,2,R2,ood
g0_R3_R4_R7_to_R2,42,A,random,5,5,3,,3,round_group,0.816074971972402,rf,0.8502409166824106,-0.03416594471000867,0.8502409166824106,0.8070653617597978,0.791795173233063,3,R2,ood
g0_R3_R4_R7_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.8150782083564841,rf,0.8502409166824106,-0.035162708325926495,0.8502409166824106,0.8070653617597978,0.791795173233063,3,R2,ood
g0_R3_R4_R7_to_R2,42,B,grouped,5,3,3,,3,round_group,0.8323739147396736,rf,0.8502409166824106,-0.01786700194273705,0.8502409166824106,0.8070653617597978,0.791795173233063,3,R2,ood
g0_R3_R6_R7_to_R2,42,A,random,5,5,3,,3,round_group,0.6678594010419456,rf,0.762434674985844,-0.09457527394389842,0.762434674985844,0.6643532847960683,0.5865751462739761,3,R2,ood
g0_R3_R6_R7_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.6668160953887798,rf,0.762434674985844,-0.09561857959706421,0.762434674985844,0.6643532847960683,0.5865751462739761,3,R2,ood
g0_R3_R6_R7_to_R2,42,B,grouped,5,3,3,,3,round_group,0.6436768197326087,rf,0.762434674985844,-0.11875785525323534,0.762434674985844,0.6643532847960683,0.5865751462739761,3,R2,ood
g0_R4_R6_R7_to_R2,42,A,random,5,5,3,,3,round_group,0.843157662733024,rf,0.8501706506152835,-0.007012987882259569,0.8501706506152835,0.838377283424595,0.8350877134952089,3,R2,ood
g0_R4_R6_R7_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.8424623474275108,rf,0.8501706506152835,-0.007708303187772714,0.8501706506152835,0.838377283424595,0.8350877134952089,3,R2,ood
g0_R4_R6_R7_to_R2,42,B,grouped,5,3,3,,3,round_group,0.8321915608072926,rf,0.8501706506152835,-0.0179790898079909,0.8501706506152835,0.838377283424595,0.8350877134952089,3,R2,ood
g0_R4_to_R3,42,A,random,5,5,5,,1,time_block,0.45850488449063126,rf,0.5446164842506234,-0.08611159975999211,0.5446164842506234,0.4356311810932153,0.4422526059827773,1,R3,ood
g0_R4_to_R3,42,A_prime,random,5,5,5,True,1,time_block,0.45850488449063126,rf,0.5446164842506234,-0.08611159975999211,0.5446164842506234,0.4356311810932153,0.4422526059827773,1,R3,ood
g0_R4_to_R3,42,B,grouped,5,5,5,,1,time_block,0.48440143535879426,rf,0.5446164842506234,-0.060215048891829104,0.5446164842506234,0.4356311810932153,0.4422526059827773,1,R3,ood
g0_R7_to_R3,42,A,random,5,5,5,,1,time_block,0.3829993718627962,rf,0.6655966061537787,-0.2825972342909825,0.6655966061537787,0.3356449806544883,0.34325394555475713,1,R3,ood
g0_R7_to_R3,42,A_prime,random,5,5,5,True,1,time_block,0.3829993718627962,rf,0.6655966061537787,-0.2825972342909825,0.6655966061537787,0.3356449806544883,0.34325394555475713,1,R3,ood
g0_R7_to_R3,42,B,grouped,5,5,5,,1,time_block,0.39981567341819746,rf,0.6655966061537787,-0.26578093273558123,0.6655966061537787,0.3356449806544883,0.34325394555475713,1,R3,ood
g0_R2_R6_to_R3,42,A,random,5,5,2,,2,round_group,0.5938693046573407,rf,0.6453461755964374,-0.0514768709390967,0.6453461755964374,0.5740933477218507,0.5811342427150084,2,R3,ood
g0_R2_R6_to_R3,42,A_prime,random,2,2,2,True,2,round_group,0.5935555295792178,rf,0.6453461755964374,-0.05179064601721961,0.6453461755964374,0.5740933477218507,0.5811342427150084,2,R3,ood
g0_R2_R6_to_R3,42,B,grouped,5,2,2,,2,round_group,0.6532202993714883,rf,0.6453461755964374,0.007874123775050923,0.6453461755964374,0.5740933477218507,0.5811342427150084,2,R3,ood
g0_R4_R6_to_R3,42,A,random,5,5,2,,2,round_group,0.5723448304763854,rf,0.6285415878179144,-0.05619675734152896,0.6285415878179144,0.5612324838366451,0.5772932432430451,2,R3,ood
g0_R4_R6_to_R3,42,A_prime,random,2,2,2,True,2,round_group,0.5726504534389417,rf,0.6285415878179144,-0.05589113437897264,0.6285415878179144,0.5612324838366451,0.5772932432430451,2,R3,ood
g0_R4_R6_to_R3,42,B,grouped,5,2,2,,2,round_group,0.5712619529166204,rf,0.6285415878179144,-0.05727963490129395,0.6285415878179144,0.5612324838366451,0.5772932432430451,2,R3,ood
g0_R5_R7_to_R3,42,A,random,5,5,2,,2,round_group,0.775961594189052,rf,0.7773063715367468,-0.001344777347694781,0.7773063715367468,0.7539659856323687,0.7550938650522091,2,R3,ood
g0_R5_R7_to_R3,42,A_prime,random,2,2,2,True,2,round_group,0.7785510456740395,rf,0.7773063715367468,0.0012446741372927894,0.7773063715367468,0.7539659856323687,0.7550938650522091,2,R3,ood
g0_R5_R7_to_R3,42,B,grouped,5,2,2,,2,round_group,0.6079473348509291,rf,0.7773063715367468,-0.16935903668581764,0.7773063715367468,0.7539659856323687,0.7550938650522091,2,R3,ood
g0_R2_R4_R6_to_R3,42,A,random,5,5,3,,3,round_group,0.6066357781771107,rf,0.6840850926983947,-0.07744931452128401,0.6840850926983947,0.5978465318097632,0.6094208535572125,3,R3,ood
g0_R2_R4_R6_to_R3,42,A_prime,random,3,3,3,True,3,round_group,0.6086482406816662,rf,0.6840850926983947,-0.07543685201672845,0.6840850926983947,0.5978465318097632,0.6094208535572125,3,R3,ood
g0_R2_R4_R6_to_R3,42,B,grouped,5,3,3,,3,round_group,0.6270308701366376,rf,0.6840850926983947,-0.05705422256175707,0.6840850926983947,0.5978465318097632,0.6094208535572125,3,R3,ood
g0_R2_R5_R7_to_R3,42,A,random,5,5,3,,3,round_group,0.7346329669957052,rf,0.7725428960282625,-0.0379099290325573,0.7725428960282625,0.7294041542833163,0.7344958030029632,3,R3,ood
g0_R2_R5_R7_to_R3,42,A_prime,random,3,3,3,True,3,round_group,0.7333455486136179,rf,0.7725428960282625,-0.039197347414644645,0.7725428960282625,0.7294041542833163,0.7344958030029632,3,R3,ood
g0_R2_R5_R7_to_R3,42,B,grouped,5,3,3,,3,round_group,0.784126881776457,rf,0.7725428960282625,0.011583985748194414,0.7725428960282625,0.7294041542833163,0.7344958030029632,3,R3,ood
g0_R4_R5_R7_to_R3,42,A,random,5,5,3,,3,round_group,0.6965822958327162,rf,0.7679633528496199,-0.07138105701690367,0.7679633528496199,0.6791223725261921,0.6961081555183232,3,R3,ood
g0_R4_R5_R7_to_R3,42,A_prime,random,3,3,3,True,3,round_group,0.6938078819333959,rf,0.7679633528496199,-0.07415547091622399,0.7679633528496199,0.6791223725261921,0.6961081555183232,3,R3,ood
g0_R4_R5_R7_to_R3,42,B,grouped,5,3,3,,3,round_group,0.8087310950565403,rf,0.7679633528496199,0.040767742206920365,0.7679633528496199,0.6791223725261921,0.6961081555183232,3,R3,ood
g0_R2_to_R4,42,A,random,5,5,5,,1,time_block,0.46795171214162296,rf,0.5879190029361334,-0.11996729079451046,0.5879190029361334,0.4460439512776442,0.402877952456142,1,R4,ood
g0_R2_to_R4,42,A_prime,random,5,5,5,True,1,time_block,0.46795171214162296,rf,0.5879190029361334,-0.11996729079451046,0.5879190029361334,0.4460439512776442,0.402877952456142,1,R4,ood
g0_R2_to_R4,42,B,grouped,5,5,5,,1,time_block,0.4556030512949477,rf,0.5879190029361334,-0.1323159516411857,0.5879190029361334,0.4460439512776442,0.402877952456142,1,R4,ood
g0_R6_to_R4,42,A,random,5,5,5,,1,time_block,0.6277574145290507,rf,0.7047265706649399,-0.07696915613588928,0.7047265706649399,0.5909315116092595,0.6458066002604217,1,R4,ood
g0_R6_to_R4,42,A_prime,random,5,5,5,True,1,time_block,0.6277574145290507,rf,0.7047265706649399,-0.07696915613588928,0.7047265706649399,0.5909315116092595,0.6458066002604217,1,R4,ood
